country,stream_id,target_start,target_iso_year,target_iso_week,baseline_center_iso_year,baseline_center_iso_week,week53_mapped_to52,window_start,window_end,expected_weeks,eligible_weeks,qualified,positive_specimens,tested_specimens,positivity,excluded_week_reasons
ETH,53b5453d29f812a883a9,2026-02-02,2026,6,2022,6,False,2022-01-24,2022-02-27,5,3,False,20.0,368.0,,"{""low_testing"":2}"
ETH,53b5453d29f812a883a9,2026-02-02,2026,6,2023,6,False,2023-01-23,2023-02-26,5,5,True,96.0,849.0,0.11307420494699646,{}
ETH,53b5453d29f812a883a9,2026-02-02,2026,6,2024,6,False,2024-01-22,2024-02-25,5,5,True,19.0,739.0,0.02571041948579161,{}
ETH,53b5453d29f812a883a9,2026-02-02,2026,6,2025,6,False,2025-01-20,2025-02-23,5,3,False,50.0,421.0,,"{""low_testing"":2}"
ETH,53b5453d29f812a883a9,2026-02-09,2026,7,2021,7,False,2021-02-01,2021-03-07,5,0,False,,,,"{""unobserved_week"":5}"
ETH,53b5453d29f812a883a9,2026-02-09,2026,7,2022,7,False,2022-01-31,2022-03-06,5,3,False,20.0,368.0,,"{""low_testing"":2}"
ETH,53b5453d29f812a883a9,2026-02-09,2026,7,2023,7,False,2023-01-30,2023-03-05,5,5,True,93.0,844.0,0.11018957345971564,{}
ETH,53b5453d29f812a883a9,2026-02-09,2026,7,2024,7,False,2024-01-29,2024-03-03,5,5,True,16.0,765.0,0.02091503267973856,{}
ETH,53b5453d29f812a883a9,2026-02-09,2026,7,2025,7,False,2025-01-27,2025-03-02,5,2,False,43.0,309.0,,"{""low_testing"":3}"
ETH,53b5453d29f812a883a9,2026-02-16,2026,8,2021,8,False,2021-02-08,2021-03-14,5,0,False,,,,"{""unobserved_week"":5}"
ETH,53b5453d29f812a883a9,2026-02-16,2026,8,2022,8,False,2022-02-07,2022-03-13,5,3,False,28.0,376.0,,"{""low_testing"":2}"
ETH,53b5453d29f812a883a9,2026-02-16,2026,8,2023,8,False,2023-02-06,2023-03-12,5,5,True,80.0,796.0,0.10050251256281408,{}
ETH,53b5453d29f812a883a9,2026-02-16,2026,8,2024,8,False,2024-02-05,2024-03-10,5,5,True,13.0,704.0,0.018465909090909092,{}
ETH,53b5453d29f812a883a9,2026-02-16,2026,8,2025,8,False,2025-02-03,2025-03-09,5,2,False,19.0,283.0,,"{""low_testing"":3}"
ETH,53b5453d29f812a883a9,2026-02-23,2026,9,2021,9,False,2021-02-15,2021-03-21,5,0,False,,,,"{""unobserved_week"":5}"
ETH,53b5453d29f812a883a9,2026-02-23,2026,9,2022,9,False,2022-02-14,2022-03-20,5,2,False,16.0,229.0,,"{""low_testing"":3}"
ETH,53b5453d29f812a883a9,2026-02-23,2026,9,2023,9,False,2023-02-13,2023-03-19,5,5,True,64.0,808.0,0.07920792079207921,{}
ETH,53b5453d29f812a883a9,2026-02-23,2026,9,2024,9,False,2024-02-12,2024-03-17,5,4,True,10.0,550.0,0.01818181818181818,"{""unobserved_week"":1}"
ETH,53b5453d29f812a883a9,2026-02-23,2026,9,2025,9,False,2025-02-10,2025-03-16,5,3,False,28.0,386.0,,"{""low_testing"":2}"
ETH,53b5453d29f812a883a9,2026-03-02,2026,10,2021,10,False,2021-02-22,2021-03-28,5,0,False,,,,"{""unobserved_week"":5}"
ETH,53b5453d29f812a883a9,2026-03-02,2026,10,2022,10,False,2022-02-21,2022-03-27,5,3,False,37.0,335.0,,"{""low_testing"":2}"
ETH,53b5453d29f812a883a9,2026-03-02,2026,10,2023,10,False,2023-02-20,2023-03-26,5,5,True,50.0,794.0,0.06297229219143577,{}
ETH,53b5453d29f812a883a9,2026-03-02,2026,10,2024,10,False,2024-02-19,2024-03-24,5,4,True,11.0,588.0,0.01870748299319728,"{""unobserved_week"":1}"
ETH,53b5453d29f812a883a9,2026-03-02,2026,10,2025,10,False,2025-02-17,2025-03-23,5,4,True,39.0,501.0,0.07784431137724551,"{""low_testing"":1}"
ETH,53b5453d29f812a883a9,2026-03-09,2026,11,2021,11,False,2021-03-01,2021-04-04,5,0,False,,,,"{""unobserved_week"":5}"
ETH,53b5453d29f812a883a9,2026-03-09,2026,11,2022,11,False,2022-02-28,2022-04-03,5,3,False,46.0,323.0,,"{""low_testing"":2}"
ETH,53b5453d29f812a883a9,2026-03-09,2026,11,2023,11,False,2023-02-27,2023-04-02,5,5,True,48.0,822.0,0.058394160583941604,{}
ETH,53b5453d29f812a883a9,2026-03-09,2026,11,2024,11,False,2024-02-26,2024-03-31,5,3,False,8.0,436.0,,"{""unobserved_week"":2}"
ETH,53b5453d29f812a883a9,2026-03-09,2026,11,2025,11,False,2025-02-24,2025-03-30,5,4,True,48.0,550.0,0.08727272727272728,"{""low_testing"":1}"
ETH,53b5453d29f812a883a9,2026-03-16,2026,12,2021,12,False,2021-03-08,2021-04-11,5,0,False,,,,"{""unobserved_week"":5}"
ETH,53b5453d29f812a883a9,2026-03-16,2026,12,2022,12,False,2022-03-07,2022-04-10,5,3,False,46.0,323.0,,"{""low_testing"":2}"
ETH,53b5453d29f812a883a9,2026-03-16,2026,12,2023,12,False,2023-03-06,2023-04-09,5,5,True,35.0,851.0,0.041128084606345476,{}
ETH,53b5453d29f812a883a9,2026-03-16,2026,12,2024,12,False,2024-03-04,2024-04-07,5,3,False,9.0,457.0,,"{""unobserved_week"":2}"
ETH,53b5453d29f812a883a9,2026-03-16,2026,12,2025,12,False,2025-03-03,2025-04-06,5,5,True,56.0,656.0,0.08536585365853659,{}
